     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
125     125  0.000008 2024-05-20 07:10:38.555810 2024-05-20 07:18:43.139975 0 days 00:08:04.584165                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
131     131  0.000008 2024-05-20 07:18:52.918515 2024-05-20 07:26:54.134082 0 days 00:08:01.215567                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
70       70  0.000008 2024-05-18 08:21:49.864614 2024-05-18 08:27:26.332344 0 days 00:05:36.467730                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
198     198  0.000008 2024-05-20 09:31:50.341017 2024-05-20 09:39:53.385055 0 days 00:08:03.044038                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
89       89  0.000009 2024-05-18 08:44:23.558443 2024-05-18 08:49:58.784632 0 days 00:05:35.226189                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
186     186  0.000009 2024-05-20 09:07:34.434100 2024-05-20 09:15:35.225886 0 days 00:08:00.791786                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
178     178  0.000009 2024-05-20 08:48:17.966658 2024-05-20 08:56:23.748660 0 days 00:08:05.782002                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
164     164  0.000009 2024-05-20 08:24:01.278769 2024-05-20 08:32:03.526312 0 days 00:08:02.247543                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
128     128  0.000009 2024-05-20 07:10:38.744813 2024-05-20 07:18:52.508854 0 days 00:08:13.764041                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
185     185  0.000009 2024-05-20 09:05:31.441030 2024-05-20 09:13:34.541533 0 days 00:08:03.100503                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
94       94  0.000009 2024-05-18 08:51:25.176674 2024-05-18 08:56:57.723017 0 days 00:05:32.546343                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
195     195  0.000009 2024-05-20 09:24:40.701719 2024-05-20 09:32:41.423159 0 days 00:08:00.721440                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
75       75  0.000009 2024-05-18 08:27:32.561783 2024-05-18 08:33:10.626575 0 days 00:05:38.064792                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
108     108  0.000009 2024-05-18 09:07:58.863605 2024-05-18 09:13:33.428921 0 days 00:05:34.565316                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
